sigma: 20.681794181622557
216_6 345.0 185.0
216_5 375.0 184.0
216_8 396.0 107.0
216_7 391.0 139.0
216_4 450.0 136.0
216_3 434.0 151.0
216_2 428.0 175.0
216_1 460.0 166.0
216_18 335.0 177.0
216_17 310.0 188.0
216_20 383.0 168.0
216_19 367.0 165.0
216_22 392.0 178.0
216_21 414.0 175.0
216_24 413.0 140.0
216_23 404.0 176.0
216_13 344.0 167.0
216_16 307.0 173.0
216_15 311.0 201.0
204_14 311.373821464219 176.6284988893042
78_3 338.92133354393764 169.31510529829018
193_16 403.8975626839225 174.03098875572846
203_17 401.2474626123358 173.15971924731025
139_10 400.1047218485111 172.5950398214891
203_16 370.1654067778134 166.05534910911132
211_16 334.34631558196253 177.47777424334112
141_9 368.8631249113424 166.43327249203423
83_6 378.17378121088336 162.58698815956836
32_2 376.8975137691864 161.62668227944334
180_1 436.71198315697757 160.63187757864097
191_3 435.8742827986534 152.46683020266894
136_1 435.5010766891229 156.55347438466768
194_6 387.71387524604154 141.62469959935257
198_5 372.004623831983 181.28336944183428
138_3 385.9084144702377 146.5649666620271
82_1 382.8753042918208 156.88217981612763
virtual 380.81107000865063 158.52137605466035
