cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
I0,2,0,0,0,0,0,0,2,0,0
I1,2,0,1,2,0,0,1,2,0,0
I2,2,0,1,2,0,1,1,2,0,1
I3,2,2,1,2,0,1,1,2,0,1
216_16,2,2,1,2,0,1,1,2,0,1
I4,2,2,1,2,0,1,1,2,0,1
216_14,2,2,1,2,0,1,1,2,0,1
216_13,2,2,1,2,0,1,1,2,0,1
I5,2,2,1,2,0,1,1,2,0,1
I6,2,2,1,2,0,1,1,2,0,1
216_10,2,2,1,2,0,1,1,2,0,1
216_9,2,2,1,2,0,1,1,2,0,1
I7,2,2,1,2,0,1,1,2,0,1
216_12,2,2,1,2,0,1,1,2,0,1
216_11,2,2,1,2,0,1,1,2,0,1
I8,2,0,1,2,0,0,1,2,0,2
I9,2,0,1,2,0,2,1,2,0,2
I10,2,2,1,2,0,2,1,2,0,2
216_6,2,2,1,2,0,2,1,2,0,2
216_5,2,2,1,2,0,2,1,2,0,2
I11,2,2,1,2,2,2,1,2,0,2
216_8,2,2,1,2,2,2,1,2,0,2
216_7,2,2,1,2,2,2,1,2,0,2
I12,2,0,1,2,0,1,1,2,1,2
I13,2,1,1,2,0,1,1,2,1,2
216_4,2,1,1,2,0,1,1,2,1,2
216_3,2,1,1,2,0,1,1,2,1,2
I14,2,0,1,2,0,1,1,2,1,2
216_2,2,0,1,2,2,1,1,2,1,2
216_1,2,0,1,2,0,1,1,2,1,2
I15,2,0,0,0,0,0,0,2,0,0
I16,2,2,1,1,0,0,0,2,0,0
I17,2,2,1,1,0,2,0,2,0,0
216_21,2,2,1,1,0,2,1,2,0,0
I18,2,2,1,1,1,2,0,2,0,0
216_24,2,2,1,1,1,2,2,2,0,0
216_23,2,2,1,1,1,2,0,2,0,0
I19,2,2,1,1,0,0,0,2,0,0
216_20,2,2,1,1,1,1,0,2,1,2
I20,2,2,1,1,0,0,0,2,0,0
216_18,2,2,1,1,1,0,0,2,0,0
216_17,2,2,1,1,0,0,0,2,0,0
I21,2,0,0,0,0,0,0,2,0,1
I22,2,0,0,2,0,2,0,2,0,1
I23,2,0,0,2,0,2,0,2,1,1
216_28,2,0,0,2,0,2,0,2,1,1
216_27,2,0,0,2,0,2,0,2,1,1
I24,2,0,0,2,0,2,0,2,0,1
216_26,2,0,2,2,0,2,0,2,0,1
216_25,2,0,0,2,0,2,0,2,0,1
I25,2,0,0,0,0,0,2,2,1,1
I26,2,1,0,1,0,2,2,2,1,1
216_30,2,1,0,1,0,2,2,2,1,1
216_29,2,1,0,1,0,2,2,2,1,1
I27,2,0,1,0,0,0,2,2,1,1
216_32,2,2,1,0,1,0,2,2,1,1
216_31,2,0,1,0,0,0,2,2,1,1
Evolve tree: [&R] (((((216_31:15,216_32:15)I27:39,(216_29:14,216_30:14)I26:40)I25:40,((216_25:19,216_26:19)I24:34,(216_27:12,216_28:12)I23:41)I22:41)I21:47,(((216_17:13,216_18:13)I20:37,216_20:50)I19:43,((216_23:16,216_24:16)I18:33,216_21:49)I17:44)I16:48)I15:43,((((216_1:12,216_2:12)I14:34,(216_3:11,216_4:11)I13:35)I12:46,((216_7:5,216_8:5)I11:40,(216_5:4,216_6:4)I10:41)I9:47)I8:47,(((216_11:10,216_12:10)I7:36,(216_9:8,216_10:8)I6:38)I5:43,((216_13:6,216_14:6)I4:37,216_16:43)I3:46)I2:50)I1:45)I0:31;
