sigma: 27.89824316442474
216_10 378.0 244.0
216_9 348.0 251.0
216_16 315.0 196.0
216_15 338.0 200.0
216_14 416.0 169.0
216_13 374.0 209.0
216_8 421.0 151.0
216_7 460.0 136.0
216_6 410.0 153.0
216_5 414.0 180.0
216_4 401.0 191.0
216_3 392.0 219.0
216_2 414.0 216.0
216_1 359.0 227.0
179_1 408.9560004576101 213.52776412369244
191_3 401.8955183198991 197.40513931285895
131_1 402.6476315433221 197.11983544205063
190_4 413.8860084405868 172.39648164059554
192_7 419.59796101501803 166.9924524645517
141_3 415.2393833380694 172.1135747273553
81_1 402.05668923982626 193.3595824396405
176_7 410.4871307274682 174.6829475909056
180_10 337.4264692532009 199.10478618222228
133_5 394.35846348262004 192.82080947393806
190_6 353.199288335372 246.96336126275986
83_3 394.8736058784874 195.52766075986028
33_1 398.4621973023298 194.4424777263457
