sigma: 16.546223459502514
216_9 156.0 283.0
216_8 173.0 304.0
216_11 186.0 255.0
216_10 208.0 271.0
216_7 221.0 258.0
216_4 254.0 282.0
216_3 235.0 290.0
216_2 216.0 303.0
216_1 221.0 326.0
210_1 216.74360540683855 303.8170891112116
210_2 224.42777014881574 281.8485656162106
174_1 221.7011447842332 281.3752726719401
136_1 219.28851363463377 279.4810904608301
185_6 203.4050403889492 272.63644105355763
190_5 172.47814497446547 300.8103566593086
147_3 204.51930343129118 274.5943383997321
103_1 216.79101793151762 278.65492784252564
