cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
I0,0,0,0,0,0,0,2,0,0,0
I1,0,0,0,0,0,0,2,0,0,0
216_3,0,0,0,0,1,1,2,0,0,0
I2,2,0,0,0,1,0,2,1,2,2
216_5,2,0,0,2,1,1,2,1,2,2
I3,2,2,0,0,1,0,2,1,2,2
216_8,2,2,0,0,1,2,2,1,2,2
216_7,2,2,2,0,1,0,2,1,2,2
I4,0,0,0,0,0,0,2,2,1,0
I5,0,0,0,2,1,0,2,2,1,0
216_16,0,2,0,2,1,0,2,2,1,1
I6,0,0,0,2,1,0,2,2,1,0
216_14,0,0,0,2,1,1,2,2,1,0
216_13,0,1,0,2,1,1,2,2,1,0
I7,0,0,0,0,2,2,2,2,1,0
I8,0,0,2,1,2,2,2,2,1,2
216_12,0,0,2,1,2,2,2,2,1,2
216_11,0,0,2,1,2,2,2,2,1,2
I9,2,0,0,0,2,2,2,2,1,0
216_10,2,1,0,0,2,2,2,2,1,0
216_9,2,0,1,0,2,2,2,2,1,0
Evolve tree: [&R] ((((216_9:30,216_10:30)I9:68,(216_11:25,216_12:25)I8:73)I7:52,((216_13:37,216_14:37)I6:61,216_16:98)I5:52)I4:40,(((216_7:33,216_8:33)I3:53,216_5:86)I2:55,216_3:141)I1:49)I0:25;
