sigma: 8.731917866140195
216_4 202.0 224.0
216_3 216.0 238.0
216_2 197.0 239.0
216_1 206.0 258.0
216_10 229.0 210.0
216_9 208.0 211.0
216_8 246.0 213.0
216_7 233.0 234.0
216_6 252.0 223.0
216_5 236.0 242.0
205_5 235.62872871824015 239.22193275055966
207_7 233.99483156199847 235.13238767954093
169_3 234.46845753449517 237.22614854575832
177_5 208.51657935298218 211.56900753333866
126_2 217.0495740656081 239.7296912831873
187_1 206.36459428560656 256.9334759426256
188_3 215.7671087952658 237.87604293910363
136_1 216.03593983062373 241.11596594000898
77_1 216.54287956266373 240.42294763908913
