sample cellID x y
s10c1 24_1 159.0 263.0
s10c1 24_2 166.0 257.0
s10c1 69_2 169.0 263.0
s10c1 69_3 184.0 254.0
s10c1 74_1 157.0 282.0
s10c1 74_2 172.0 282.0
s10c1 133_1 146.0 278.0
s10c1 133_2 159.0 272.0
s10c1 135_4 161.0 256.0
s10c1 135_5 171.0 254.0
s10c1 138_6 202.0 243.0
s10c1 138_7 187.0 232.0
s10c1 148_3 183.0 275.0
s10c1 148_4 181.0 269.0
s10c1 181_1 148.0 297.0
s10c1 181_2 138.0 274.0
s10c1 186_3 159.0 293.0
s10c1 186_4 153.0 281.0
s10c1 193_7 114.0 253.0
s10c1 193_8 127.0 244.0
s10c1 194_9 166.0 259.0
s10c1 194_10 159.0 249.0
s10c1 194_11 208.0 232.0
s10c1 194_12 226.0 225.0
s10c1 199_13 141.0 218.0
s10c1 199_14 142.0 206.0
s10c2 21_1 189.0 248.0
s10c2 21_2 203.0 238.0
s10c2 63_1 189.0 279.0
s10c2 63_2 191.0 255.0
s10c2 63_3 211.0 237.0
s10c2 63_4 197.0 229.0
s10c2 109_1 182.0 287.0
s10c2 109_2 189.0 279.0
s10c2 120_3 206.0 255.0
s10c2 120_4 192.0 256.0
s10c2 120_6 172.0 241.0
s10c2 120_7 181.0 226.0
s10c2 126_5 225.0 243.0
s10c2 126_6 214.0 234.0
s10c2 158_2 210.0 280.0
s10c2 158_3 203.0 260.0
s10c2 163_1 173.0 305.0
s10c2 163_2 190.0 294.0
s10c2 175_5 230.0 271.0
s10c2 175_6 238.0 263.0
s10c2 175_7 177.0 233.0
s10c2 175_8 161.0 227.0
s10c2 176_11 145.0 252.0
s10c2 176_12 144.0 232.0
s10c2 176_13 182.0 209.0
s10c2 176_14 196.0 208.0
s10c2 187_10 199.0 235.0
s10c2 187_11 206.0 219.0
s10c2 189_9 243.0 240.0
s10c2 189_10 250.0 234.0
s10c2 202_4 189.0 254.0
s10c2 202_5 201.0 247.0
s10c2 206_2 186.0 292.0
s10c2 206_3 181.0 278.0
s10c2 211_1 167.0 311.0
s10c2 211_2 161.0 297.0
s10c2 211_5 198.0 300.0
s10c2 211_6 201.0 288.0
s10c3 35_1 274.0 296.0
s10c3 35_2 265.0 287.0
s10c3 37_3 291.0 290.0
s10c3 37_4 280.0 285.0
s10c3 78_2 264.0 289.0
s10c3 78_3 270.0 278.0
s10c3 84_5 271.0 293.0
s10c3 84_6 284.0 284.0
s10c3 86_1 273.0 315.0
s10c3 86_2 282.0 302.0
s10c3 92_5 299.0 301.0
s10c3 92_6 300.0 283.0
s10c3 137_3 251.0 301.0
s10c3 137_4 261.0 286.0
s10c3 137_5 268.0 267.0
s10c3 137_6 275.0 262.0
s10c3 141_7 291.0 323.0
s10c3 141_8 298.0 312.0
s10c3 141_9 309.0 299.0
s10c3 141_10 299.0 283.0
s10c3 153_1 264.0 323.0
s10c3 153_2 254.0 311.0
s10c3 158_3 268.0 307.0
s10c3 158_4 286.0 301.0
s10c3 174_13 232.0 285.0
s10c3 174_14 241.0 277.0
s10c3 183_9 293.0 339.0
s10c3 183_10 281.0 335.0
s10c3 186_7 249.0 266.0
s10c3 186_8 261.0 259.0
s10c3 187_12 309.0 305.0
s10c3 187_13 301.0 295.0
s10c3 188_9 282.0 263.0
s10c3 188_10 276.0 253.0
s10c3 190_5 244.0 301.0
s10c3 190_6 242.0 292.0
s10c3 191_7 266.0 286.0
s10c3 191_8 256.0 283.0
s10c3 193_18 294.0 288.0
s10c3 193_19 297.0 275.0
s10c3 197_2 231.0 305.0
s10c3 197_3 242.0 308.0
s10c3 198_1 258.0 335.0
s10c3 198_2 263.0 322.0
s10c3 209_5 255.0 313.0
s10c3 209_6 262.0 300.0
s10c3 210_20 307.0 314.0
s10c3 210_21 316.0 308.0
s10c3 212_7 289.0 304.0
s10c3 212_8 278.0 296.0
s10c4 58_1 323.0 268.0
s10c4 58_2 333.0 266.0
s10c4 125_2 331.0 254.0
s10c4 125_3 343.0 240.0
s10c4 127_1 311.0 281.0
s10c4 127_2 329.0 272.0
s10c4 172_2 340.0 274.0
s10c4 172_3 328.0 274.0
s10c4 174_4 319.0 264.0
s10c4 174_5 336.0 254.0
s10c4 177_1 317.0 286.0
s10c4 177_2 309.0 269.0
s10c4 177_7 364.0 252.0
s10c4 177_8 355.0 248.0
s10c4 212_5 314.0 261.0
s10c4 212_6 321.0 248.0
s10c4 212_7 360.0 274.0
s10c4 212_8 355.0 262.0
s10c5 52_2 326.0 224.0
s10c5 52_3 316.0 216.0
s10c5 61_1 315.0 225.0
s10c5 61_2 305.0 214.0
s10c5 106_3 328.0 228.0
