cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
216_7,1,2,1,1,1,2,1,0,0,2
216_6,1,2,1,1,1,2,1,0,0,2
216_3,1,2,2,1,1,2,1,2,0,0
216_1,1,2,2,1,1,2,1,2,0,0
216_10,1,2,0,2,1,2,1,0,0,0
216_9,1,2,0,2,1,2,1,0,0,0
216_8,1,2,0,2,1,2,1,0,0,0
216_14,1,2,0,2,1,2,1,0,0,0
216_13,1,2,0,2,1,2,1,0,0,0
216_12,1,2,0,2,1,2,1,2,0,2
216_11,1,2,0,2,1,2,1,2,0,2
216_42,1,0,0,2,2,2,0,2,1,1
216_41,1,2,0,2,2,2,0,2,1,1
216_40,0,0,0,2,2,2,0,2,1,1
216_39,0,0,0,2,2,2,0,2,1,1
216_46,0,1,2,2,2,0,0,2,1,1
216_45,0,1,2,2,2,0,0,0,1,1
216_44,0,1,2,2,2,0,0,0,1,1
216_43,0,1,2,2,2,0,0,0,1,1
216_36,0,0,0,2,2,0,1,2,2,1
216_35,0,0,0,2,2,1,1,2,2,1
216_32,0,0,2,2,2,2,1,2,2,1
216_31,0,0,2,2,2,0,1,2,2,1
216_26,2,1,2,0,2,2,2,1,2,0
216_27,1,1,0,0,2,2,2,0,0,0
216_30,0,1,0,2,2,2,2,0,0,2
216_29,0,1,0,2,2,2,2,0,0,2
216_22,1,1,0,0,2,2,2,0,1,1
216_21,1,1,0,0,2,2,2,0,1,1
216_20,1,1,0,0,2,2,2,0,1,1
216_19,1,1,2,0,2,2,2,0,1,1
216_18,2,1,2,0,0,2,2,1,0,1
216_16,0,1,2,2,1,2,2,1,1,1
216_15,0,1,2,2,1,2,2,1,2,1
