cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
I0,0,0,0,0,0,0,0,0,0,0
I1,0,1,2,0,0,0,2,0,0,0
I2,0,1,2,2,2,2,2,1,0,0
I3,0,1,2,2,2,2,2,1,2,0
216_4,0,1,2,2,2,2,2,1,2,0
216_3,0,1,2,2,2,2,2,1,2,0
I4,0,1,2,2,2,2,2,1,0,0
216_2,0,1,2,2,2,2,2,1,0,0
216_1,0,1,2,2,2,2,2,1,0,2
I5,0,1,2,0,2,0,2,0,0,0
I6,0,1,2,1,2,0,2,0,0,0
216_9,0,1,2,1,2,1,2,2,1,1
216_8,0,1,2,1,2,2,2,0,2,1
I7,0,1,2,2,2,0,2,0,0,0
216_11,0,1,2,2,2,0,2,0,0,0
216_10,1,1,2,2,2,0,2,0,0,0
I8,0,0,0,0,0,0,0,0,0,0
I9,0,0,0,2,1,0,1,2,2,0
216_13,0,0,0,2,1,0,1,2,2,2
216_12,0,0,0,2,1,0,1,2,2,0
I10,2,0,0,0,0,0,1,1,0,0
216_16,2,2,2,2,1,0,1,1,0,0
216_19,2,2,2,2,0,1,1,1,1,2
Evolve tree: [&R] (((216_19:127,216_16:127)I10:43,(216_12:40,216_13:40)I9:130)I8:45,(((216_10:59,216_11:59)I7:53,(216_8:50,216_9:50)I6:62)I5:57,((216_1:15,216_2:15)I4:45,(216_3:6,216_4:6)I3:54)I2:109)I1:46)I0;
