sigma: 19.188715660484924
216_15 215.0 201.0
216_14 256.0 213.0
216_25 345.0 122.0
216_23 411.0 155.0
216_22 398.0 193.0
216_27 350.0 158.0
216_26 377.0 161.0
216_31 336.0 137.0
216_30 321.0 144.0
216_29 300.0 158.0
216_28 316.0 162.0
216_1 275.0 319.0
216_3 235.0 250.0
216_4 259.0 260.0
216_5 269.0 251.0
216_10 252.0 203.0
216_13 251.0 185.0
216_12 234.0 203.0
216_9 230.0 226.0
216_8 207.0 229.0
216_7 240.0 228.0
216_6 257.0 234.0
213_27 313.65212051506086 160.0935172982845
215_30 322.60047342353965 145.33385180479948
175_17 322.7351736825336 147.57938355026323
179_18 375.0358042176082 160.93325487374906
127_8 342.0945903116009 161.99414899060028
183_18 391.23811231080595 176.44736620311895
130_8 346.5364758520527 168.46134404261102
79_4 342.4927269103407 169.54953941727842
180_11 255.39729455708334 211.86041207072947
34_3 338.49656233628633 171.52554079847832
211_5 241.68953177039367 228.02676246317094
212_7 229.25196846216375 226.2863918944011
168_3 241.35014501687004 227.262912130069
211_8 254.93214243655186 204.6642787462115
171_6 256.14960641231204 206.711718989258
128_2 257.72090712749616 209.0755027673483
212_4 255.87541023463973 237.78005468954325
170_2 255.1514587406979 236.67975872739916
130_1 255.8812170793022 234.6191886653552
80_1 259.9102274543409 210.75355440025828
virtual 335.7960707824438 172.87321625362895
