cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
I0,0,0,0,0,0,0,0,0,0,0
I1,0,0,0,0,2,0,0,0,0,0
I2,0,0,1,0,2,0,0,0,0,1
I3,0,2,1,2,2,0,0,0,0,1
216_16,0,2,1,2,2,0,0,0,0,1
216_15,0,2,1,2,2,0,0,0,0,1
I4,0,2,1,0,2,1,0,0,0,1
216_14,1,2,1,0,2,1,1,0,0,1
216_13,0,2,1,0,2,1,0,0,0,1
I5,2,0,0,0,2,0,2,0,1,0
I6,2,0,0,2,2,0,2,1,1,1
216_6,2,0,0,2,2,0,2,1,1,1
216_5,2,0,0,2,2,0,2,1,1,1
I7,2,0,0,2,2,2,2,2,1,0
I8,2,0,0,2,2,2,2,2,1,0
216_4,2,0,0,2,2,2,2,2,1,0
216_3,2,0,0,2,2,2,2,2,1,0
I9,2,0,0,2,2,2,2,2,1,0
216_2,2,0,0,2,2,2,2,2,1,0
216_1,2,0,0,2,2,2,2,2,1,0
I10,0,2,2,0,0,0,1,0,0,0
I11,0,2,2,0,0,0,1,0,0,0
I12,0,2,2,0,0,0,1,0,0,0
I13,1,2,2,0,0,0,1,0,0,0
216_28,1,2,2,0,0,0,1,0,0,0
216_27,1,2,2,2,0,0,1,0,0,0
I14,0,2,2,0,0,1,1,2,2,2
216_26,0,2,2,0,2,1,1,2,2,2
216_25,0,2,2,0,0,1,1,2,2,2
I15,0,2,2,1,0,1,1,0,0,0
I16,2,2,2,1,0,1,1,0,0,0
216_32,2,2,2,1,0,1,1,0,0,0
216_31,2,2,2,1,0,1,1,0,2,0
I17,0,2,2,1,0,1,1,0,0,0
216_30,0,2,2,1,0,1,1,2,2,0
216_29,0,2,2,1,2,1,1,1,0,0
I18,0,2,2,0,1,0,1,0,2,1
I19,1,2,2,0,1,0,1,1,2,1
I20,1,2,2,0,1,0,1,1,2,1
216_24,1,2,2,0,1,0,1,1,2,1
216_23,1,2,2,0,1,0,1,1,2,1
I21,1,2,2,0,1,0,1,1,2,1
216_22,1,2,2,0,1,0,1,1,2,1
216_21,1,2,2,0,1,0,1,1,2,1
I22,0,2,2,0,1,0,1,1,2,1
I23,0,2,2,0,1,0,1,1,2,1
216_20,0,2,2,0,1,0,1,1,2,1
216_19,0,2,2,1,1,2,1,1,2,1
I24,2,2,2,0,1,0,1,1,2,1
216_18,2,2,2,0,1,0,1,1,2,1
216_17,2,2,2,2,1,0,1,1,2,1
Evolve tree: [&R] (((((216_17:32,216_18:32)I24:46,(216_19:31,216_20:31)I23:47)I22:45,((216_21:33,216_22:33)I21:45,(216_23:33,216_24:33)I20:45)I19:45)I18:39,(((216_29:23,216_30:23)I17:45,(216_31:22,216_32:22)I16:46)I15:50,((216_25:22,216_26:22)I14:45,(216_27:21,216_28:21)I13:46)I12:51)I11:44)I10:48,((((216_1:11,216_2:11)I9:43,(216_3:11,216_4:11)I8:43)I7:48,(216_5:8,216_6:8)I6:94)I5:57,((216_13:25,216_14:25)I4:47,(216_15:16,216_16:16)I3:56)I2:87)I1:51)I0:5;
