cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
216_28,1,1,0,1,0,2,2,2,2,1
216_29,1,1,0,1,0,2,2,2,2,0
216_31,1,0,2,2,2,0,2,2,2,0
216_30,1,0,2,0,2,0,2,2,2,0
216_33,1,0,2,0,2,2,2,2,2,0
216_32,1,0,2,0,2,2,2,2,2,1
216_35,1,0,2,0,2,2,2,2,2,0
216_34,1,1,2,0,2,2,2,2,2,0
216_25,1,0,2,1,1,1,2,0,0,1
216_24,1,0,2,1,1,1,2,0,0,1
216_27,1,0,2,1,1,1,2,2,0,1
216_26,1,0,2,1,1,0,2,0,2,1
216_21,1,0,2,1,1,1,0,1,0,2
216_23,1,2,2,1,1,1,2,1,0,2
216_22,1,2,2,1,1,1,2,1,0,2
216_20,1,2,2,1,1,2,2,1,0,0
216_19,1,2,2,1,1,2,2,1,0,0
216_18,1,2,2,1,1,2,2,1,0,0
216_17,1,2,2,1,1,2,2,1,0,0
216_4,2,2,0,2,2,2,2,2,1,0
216_11,2,0,2,1,0,0,0,2,2,1
216_10,2,0,2,1,0,0,0,2,2,1
216_7,2,0,0,1,1,1,0,0,2,1
216_6,2,0,0,1,1,1,0,0,2,1
216_9,2,0,0,1,1,1,0,0,2,1
216_8,2,0,0,1,1,1,0,0,2,1
