cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
216_1,2,1,0,0,2,2,2,1,0,2
216_3,2,1,0,0,2,0,2,1,0,2
216_4,2,1,0,0,2,0,2,1,0,2
216_5,2,1,0,0,2,0,2,1,0,2
216_10,1,1,2,1,2,2,0,1,2,1
216_13,1,1,2,0,2,0,0,1,2,0
216_12,1,1,2,0,2,0,0,1,2,0
216_9,0,1,0,0,2,1,1,1,2,2
216_8,0,1,0,0,2,1,1,1,2,2
216_7,0,1,0,2,2,0,2,1,2,0
216_6,0,1,0,2,2,0,2,1,2,0
216_15,2,2,1,0,2,1,1,2,1,1
216_14,2,2,1,0,2,1,1,2,1,1
216_25,0,2,1,1,2,2,1,2,2,1
216_23,1,2,1,1,2,2,1,2,1,1
216_22,1,2,1,1,2,2,1,2,1,1
216_27,2,2,2,0,2,0,0,2,2,1
216_26,2,2,2,0,2,0,0,2,2,1
216_31,2,2,0,0,2,0,1,2,2,1
216_30,2,2,0,0,2,0,1,2,2,1
216_29,2,2,1,0,2,0,1,2,0,1
216_28,2,2,1,0,2,0,1,2,0,1
