dataset method cellID true_time est_brlen
s13c3 withLoc 105_3 64.0 0.47689293377217584
s13c3 withLoc 131_2 46.0 0.2980134579638188
s13c3 withLoc 149_6 44.0 0.05268025782891314
s13c3 withLoc 176_3 45.0 1.1490399622229484
s13c3 withLoc 181_5 50.0 0.05268025782891314
s13c3 withLoc 184_1 99.0 0.2762750794507519
s13c3 withLoc 216_1 32.0 0.2761952689847533
s13c3 withLoc 216_11 67.0 0.6900849900253778
s13c3 withLoc 216_12 67.0 0.15943502710206867
s13c3 withLoc 216_2 32.0 0.25231412305899426
s13c3 withLoc 216_5 40.0 0.22613275514812634
s13c3 withLoc 216_6 40.0 0.05268025782891314
s13c3 withLoc 216_7 35.0 0.280039956280618
s13c3 withLoc 216_8 35.0 0.6151483539195873
s13c3 withLoc 216_9 111.0 0.0526802580135323
s13c3 withLoc 41_1 40.0 0.05268025782891314
s13c3 withLoc 85_1 44.0 0.05268025782891314
s20c1 withLoc 103_1 102.0 0.09982670690808805
s20c1 withLoc 136_1 33.0 0.05268025782891314
s20c1 withLoc 147_3 44.0 0.25885369024159677
s20c1 withLoc 174_1 38.0 0.05268025823385694
s20c1 withLoc 185_6 38.0 0.05268025782891314
s20c1 withLoc 190_5 43.0 1.2207312435095539
s20c1 withLoc 210_1 36.0 0.8320065307475345
s20c1 withLoc 210_2 36.0 0.05268025782891314
s20c1 withLoc 216_1 6.0 0.5221318645148465
s20c1 withLoc 216_10 31.0 0.4003153208296837
s20c1 withLoc 216_11 31.0 0.5332547469488251
s20c1 withLoc 216_2 6.0 0.05268025782891314
s20c1 withLoc 216_3 6.0 0.9284215077110447
s20c1 withLoc 216_4 6.0 0.7326127114484556
s20c1 withLoc 216_7 80.0 1.0597088410886948
s20c1 withLoc 216_8 26.0 0.05268025782891314
s20c1 withLoc 216_9 26.0 0.45581445439022483
s20c6 withLoc 104_3 57.0 0.795716367601989
s20c6 withLoc 156_1 109.0 0.05268025782891314
s20c6 withLoc 157_6 53.0 0.20527163406726126
s20c6 withLoc 166_5 62.0 0.5576771033819802
s20c6 withLoc 176_10 130.0 0.8014572183951901
s20c6 withLoc 1_1 0 0.05268025783006924
s20c6 withLoc 201_1 45.0 0.6879799098944216
s20c6 withLoc 210_3 54.0 0.6627173066477636
s20c6 withLoc 216_1 15.0 0.05268025782891314
s20c6 withLoc 216_10 59.0 0.6585008118692363
s20c6 withLoc 216_11 59.0 0.05268025783061797
s20c6 withLoc 216_12 40.0 1.4115161589617335
s20c6 withLoc 216_13 40.0 0.05268025782935993
s20c6 withLoc 216_16 127.0 0.05268025783130043
s20c6 withLoc 216_19 127.0 4.605170185988091
s20c6 withLoc 216_2 15.0 0.40678342918283883
s20c6 withLoc 216_3 6.0 0.41236110721892677
s20c6 withLoc 216_4 6.0 0.05268025782935
s20c6 withLoc 216_8 50.0 0.05268025782891314
s20c6 withLoc 216_9 50.0 0.5865530774951244
s20c6 withLoc 46_2 45.0 0.05268025783213865
s20c6 withLoc 47_1 46.0 0.052680257831503936
s20c6 withLoc 89_4 43.0 0.7936017698266689
s20c7 withLoc 177_5 176.0 0.052680257828928885
s20c7 withLoc 1_1 0 0.20570843650895987
s20c7 withLoc 216_1 215.0 0.8653307721583458
s20c7 withLoc 216_4 39.0 1.1433046383119594
s20c7 withLoc 216_5 39.0 0.19539188274539168
s7c2 withLoc 124_1 49.0 2.3862114290928007
s7c2 withLoc 125_3 50.0 0.0526802579566523
s7c2 withLoc 164_2 40.0 0.05268025782891314
s7c2 withLoc 168_1 44.0 0.05268025782891314
s7c2 withLoc 179_7 54.0 0.5721758656162312
s7c2 withLoc 203_4 39.0 1.2045571282157015
s7c2 withLoc 213_1 45.0 0.9789379311153882
s7c2 withLoc 216_1 3.0 0.8350199115482365
s7c2 withLoc 216_11 37.0 0.05268025789452553
s7c2 withLoc 216_12 37.0 2.3188450734424726
s7c2 withLoc 216_2 3.0 0.05268025794261517
s7c2 withLoc 216_4 48.0 0.28800695058021797
s7c2 withLoc 216_5 52.0 0.05268025786176421
s7c2 withLoc 216_7 13.0 0.052680257847915704
s7c2 withLoc 216_8 13.0 1.953722329888638
s7c2 withLoc 216_9 91.0 3.6400055965075824
s7c2 withLoc 75_1 74.0 1.1453245331682171
s7c5 withLoc 115_3 70.0 0.05268025782891314
s7c5 withLoc 159_8 114.0 1.9418558585745085
s7c5 withLoc 166_6 51.0 0.5526589086595137
s7c5 withLoc 173_5 58.0 0.05268025782892037
s7c5 withLoc 186_2 185.0 0.05268025782895249
s7c5 withLoc 205_10 46.0 0.05268025782966427
s7c5 withLoc 207_8 41.0 0.05268025782891939
s7c5 withLoc 208_10 49.0 1.112920759056715
s7c5 withLoc 210_7 44.0 0.05268025782898069
s7c5 withLoc 215_6 42.0 0.5461719288953452
s7c5 withLoc 216_10 9.0 0.5934680791920983
s7c5 withLoc 216_11 9.0 0.8374403859841988
s7c5 withLoc 216_12 8.0 0.6282184929598752
s7c5 withLoc 216_13 8.0 0.05268025782903015
s7c5 withLoc 216_14 11.0 0.47737282205528575
s7c5 withLoc 216_15 11.0 0.05268025782897082
s7c5 withLoc 216_3 30.0 0.5979492566849822
s7c5 withLoc 216_4 30.0 0.05268025782891314
s7c5 withLoc 216_5 43.0 0.20496373780883992
s7c5 withLoc 216_6 1.0 0.3257903406550775
s7c5 withLoc 216_7 1.0 0.05268025782891314
s7c5 withLoc 216_8 6.0 2.5235999353056426
s7c5 withLoc 216_9 6.0 0.2226784544484147
s7c5 withLoc 45_2 44.0 0.314562050155056
s7c5 withLoc virtual 0 0.09981944690074687
s13c3 withoutLoc 105_3 64.0 0.5099298919166082
s13c3 withoutLoc 131_2 46.0 0.1995579900907046
s13c3 withoutLoc 149_6 44.0 0.05268025783300918
s13c3 withoutLoc 176_3 45.0 1.4090013367002183
s13c3 withoutLoc 181_5 50.0 0.05268025783709498
s13c3 withoutLoc 184_1 99.0 0.3411138114607189
s13c3 withoutLoc 216_1 32.0 0.16971274268606507
s13c3 withoutLoc 216_11 67.0 0.052680257835597155
s13c3 withoutLoc 216_12 67.0 0.05268025783455725
s13c3 withoutLoc 216_2 32.0 0.3520412956507015
s13c3 withoutLoc 216_5 40.0 0.05268025783642042
s13c3 withoutLoc 216_6 40.0 0.0526802578331478
s13c3 withoutLoc 216_7 35.0 0.29825608551825433
s13c3 withoutLoc 216_8 35.0 0.7037263775882001
s13c3 withoutLoc 216_9 111.0 0.052680257835294494
s13c3 withoutLoc 41_1 40.0 0.052680257835466406
s13c3 withoutLoc 85_1 44.0 0.05268025783971044
s13c4 withoutLoc 136_1 54.0 1.4681590081007467
s13c4 withoutLoc 138_3 56.0 0.36726593059216106
s13c4 withoutLoc 139_10 56.0 0.6122606325842038
s13c4 withoutLoc 141_9 58.0 1.348299315149781
s13c4 withoutLoc 180_1 44.0 0.05268025783126024
s13c4 withoutLoc 191_3 55.0 0.05268025783116658
s13c4 withoutLoc 193_16 54.0 0.7362263309536987
s13c4 withoutLoc 194_6 56.0 0.05268025783160672
s13c4 withoutLoc 198_5 60.0 0.18465812787645935
s13c4 withoutLoc 203_16 62.0 0.05268025783028786
s13c4 withoutLoc 203_17 64.0 0.2432277090131892
s13c4 withoutLoc 204_14 126.0 0.05268025783209904
s13c4 withoutLoc 211_16 70.0 0.7010298998890135
s13c4 withoutLoc 216_1 36.0 0.05268025783148857
s13c4 withoutLoc 216_13 138.0 0.41134288436436783
s13c4 withoutLoc 216_15 12.0 0.05268025783275667
s13c4 withoutLoc 216_16 12.0 0.05268025783111226
s13c4 withoutLoc 216_17 5.0 0.05268025783016438
s13c4 withoutLoc 216_18 5.0 0.05268025783019317
s13c4 withoutLoc 216_19 13.0 0.05268025782979987
s13c4 withoutLoc 216_2 36.0 0.05268025783016933
s13c4 withoutLoc 216_20 13.0 0.05268025783072469
s13c4 withoutLoc 216_21 13.0 0.501595590923403
s13c4 withoutLoc 216_22 13.0 1.1947732611498414
s13c4 withoutLoc 216_23 23.0 0.05268025783162417
s13c4 withoutLoc 216_24 23.0 0.7017229714139047
s13c4 withoutLoc 216_3 25.0 0.05268025783049037
s13c4 withoutLoc 216_4 25.0 0.05268025783116237
s13c4 withoutLoc 216_5 18.0 0.05268025783178283
s13c4 withoutLoc 216_6 18.0 0.052680257832210815
s13c4 withoutLoc 216_7 22.0 0.4057505705529244
s13c4 withoutLoc 216_8 22.0 0.05268025783278883
s13c4 withoutLoc 32_2 31.0 0.20866893442639456
s13c4 withoutLoc 78_3 46.0 0.29627837896425274
s13c4 withoutLoc 82_1 81.0 0.1403712104668073
s13c4 withoutLoc 83_6 51.0 0.052680257830063304
s13c4 withoutLoc virtual 0 0.05268025783464251
s20c1 withoutLoc 103_1 102.0 0.10026878293947687
s20c1 withoutLoc 136_1 33.0 0.052680257829179095
s20c1 withoutLoc 147_3 44.0 0.23863423818628077
s20c1 withoutLoc 174_1 38.0 0.052680257829257476
s20c1 withoutLoc 185_6 38.0 0.05268025782914412
s20c1 withoutLoc 190_5 43.0 0.8642117284642771
s20c1 withoutLoc 210_1 36.0 0.787089597972286
s20c1 withoutLoc 210_2 36.0 0.052680257829014046
s20c1 withoutLoc 216_1 6.0 0.31191443720003315
s20c1 withoutLoc 216_10 31.0 0.5674275832054938
s20c1 withoutLoc 216_11 31.0 0.34427459807774163
s20c1 withoutLoc 216_2 6.0 0.31192052194693165
s20c1 withoutLoc 216_3 6.0 1.0566991497917373
s20c1 withoutLoc 216_4 6.0 0.5458765486271817
s20c1 withoutLoc 216_7 80.0 1.0998295338767399
s20c1 withoutLoc 216_8 26.0 0.05268025782903294
s20c1 withoutLoc 216_9 26.0 0.05268025782906298
s20c6 withoutLoc 104_3 57.0 0.4660219064903351
