sigma: 34.5067971014465
216_9 304.0 253.0
216_12 275.0 256.0
216_11 387.0 293.0
216_2 327.0 255.0
216_1 302.0 295.0
216_8 400.0 229.0
216_7 402.0 242.0
216_6 361.0 250.0
216_5 362.0 284.0
176_3 361.5476249794617 256.1220503879909
181_5 377.6803272618143 245.8377792574675
131_2 371.1935918706921 248.00157841493356
184_1 322.1516797354329 268.9396149429714
85_1 337.0004612733422 258.13621820253513
149_6 302.1918225638567 257.6087324362743
105_3 304.7024088665543 255.43849739258602
41_1 333.78753743931077 257.86762451568654
