sigma: 20.542606551434798
216_4 143.0 314.0
216_3 131.0 317.0
216_2 119.0 300.0
216_1 130.0 303.0
216_30 182.0 267.0
216_29 176.0 293.0
216_28 169.0 305.0
216_27 163.0 319.0
216_26 213.0 303.0
216_25 195.0 320.0
216_24 129.0 275.0
216_23 140.0 291.0
216_22 181.0 315.0
216_21 152.0 324.0
216_16 155.0 273.0
216_15 139.0 279.0
216_14 127.0 291.0
216_13 99.0 293.0
216_17 151.0 299.0
216_20 201.0 288.0
216_19 192.0 306.0
216_8 159.0 263.0
216_7 168.0 279.0
216_6 198.0 269.0
216_5 189.0 293.0
216_9 190.0 334.0
216_12 209.0 280.0
162_5 182.00425089101202 301.4899206168513
204_3 186.94146382400544 288.18328791832755
205_5 169.2891883439352 277.9226739637228
165_5 182.9635395879375 286.69206547165794
124_5 177.73956668446272 300.03443040379557
209_16 191.1372756879906 302.1941970516735
169_10 154.44775963457735 298.5124414511923
205_10 125.55894416210421 291.2948403243939
213_14 150.76018467053396 275.60352594998244
170_9 153.42177916580275 292.86569247064017
129_7 155.31997861773738 294.2802045296035
85_3 173.14364097729177 299.4209463227154
176_13 155.00153598037787 319.86786954643617
180_15 141.7790568992793 291.9142875338153
130_9 145.7137710782826 295.68270878541875
209_21 194.83705182597387 315.02400588686413
213_24 170.17511254519516 306.9498831605701
172_15 174.24434277864086 304.0416470080592
178_18 175.57414064036632 293.6740625117415
132_11 174.06139751043895 298.8642415809579
86_5 165.33876208239494 298.9275425000306
42_2 166.30380961235488 299.3797190050723
207_1 125.16066975242715 301.74323377100734
213_3 137.12453210078797 315.0392961683122
163_3 139.31654054630238 306.9226098113101
virtual 164.7373974335796 299.8183804233155
