sigma: 22.470982031241125
216_15 293.0 317.0
216_14 279.0 319.0
216_17 276.0 266.0
216_16 273.0 287.0
216_19 296.0 274.0
216_18 310.0 297.0
216_21 299.0 229.0
216_20 319.0 268.0
216_11 249.0 311.0
216_13 281.0 296.0
216_12 266.0 311.0
216_9 256.0 326.0
216_8 277.0 341.0
216_7 297.0 341.0
216_6 307.0 361.0
216_1 240.0 380.0
216_5 251.0 343.0
216_4 289.0 328.0
216_3 287.0 341.0
212_3 286.55000429745843 340.22748371239913
159_2 268.8856731821386 336.68740385652353
106_1 234.96346271977964 295.1680692081395
207_5 268.00899607606635 329.5317091460736
209_7 260.0142874490219 323.44344581515844
155_3 260.75140331341373 323.59891665667635
201_8 274.1901035164337 299.81347644983265
155_4 248.05583188933858 297.2730054372981
106_2 248.14705225162538 297.02179626794873
59_1 236.06804038417692 279.2272943674829
175_12 274.6772670113691 243.59449828185214
179_12 309.99334527385963 296.99221630788446
126_6 252.54353277255728 247.19176585849027
177_10 272.9972148005409 286.97954169472087
180_9 279.4738762898983 301.27070035833276
130_5 260.91994460146367 263.7353893279894
73_3 253.30905751570333 247.03057881149593
16_1 253.2873225904069 247.02760917807828
