cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
I0,0,1,2,0,0,0,0,0,0,2
I1,0,1,2,0,2,0,2,0,1,2
I2,1,1,2,0,2,0,2,0,1,2
216_9,1,1,2,0,2,0,2,1,1,2
216_8,1,1,2,2,2,0,2,0,1,2
I3,0,1,2,0,2,0,2,2,1,2
I4,0,1,2,0,2,1,2,2,1,2
216_7,0,1,2,0,2,1,2,2,1,2
216_6,0,1,2,0,2,1,2,2,1,2
I5,0,1,2,2,2,0,2,2,1,2
216_5,1,1,2,2,2,0,2,2,1,2
216_4,0,1,2,2,2,0,2,2,1,2
I6,0,1,2,1,2,1,1,1,0,2
I7,0,1,2,1,2,1,1,1,2,2
216_15,0,1,2,1,2,1,1,1,2,2
216_14,0,1,2,1,2,1,1,1,2,2
I8,2,1,2,1,2,1,1,1,2,2
I9,2,1,2,1,2,1,1,1,2,2
216_11,2,1,2,1,2,1,1,1,2,2
216_10,2,1,2,1,2,1,1,1,2,2
I10,2,1,2,1,2,1,1,1,2,2
216_13,2,1,2,1,2,1,1,1,2,2
216_12,2,1,2,1,2,1,1,1,2,2
Evolve tree: [&R] ((((216_12:14,216_13:14)I10:40,(216_10:7,216_11:7)I9:47)I8:54,(216_14:14,216_15:14)I7:94)I6:58,(((216_4:17,216_5:17)I5:43,(216_6:14,216_7:14)I4:46)I3:45,(216_8:54,216_9:54)I2:51)I1:61)I0:49;
