cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
I0,0,0,0,0,0,0,0,0,0,0
I1,0,2,0,2,0,0,0,0,0,2
I2,1,2,0,2,0,2,0,0,0,2
216_24,1,2,1,2,0,2,0,0,0,2
216_23,1,2,0,2,0,2,2,0,0,2
I3,0,2,2,2,0,0,0,0,0,2
I4,0,2,2,2,0,1,0,0,0,2
216_30,0,2,2,2,0,1,0,0,2,2
216_29,0,2,2,2,0,1,0,0,0,2
I5,0,2,2,2,0,0,2,0,0,2
216_28,0,2,2,2,0,0,2,0,2,2
216_27,0,2,2,2,0,0,2,0,0,2
I6,0,2,0,0,0,0,1,0,0,0
I7,0,2,2,0,0,0,1,0,2,0
216_15,1,2,2,0,0,0,1,0,2,0
I8,0,2,2,0,0,0,1,0,2,0
216_14,0,2,2,0,0,0,1,0,2,0
216_13,0,2,2,0,0,0,1,0,2,0
I9,0,2,0,0,0,2,1,0,1,0
I10,2,2,1,0,0,2,1,1,1,0
I11,2,2,1,0,0,2,1,1,1,2
216_2,2,2,1,0,0,2,1,1,1,2
216_1,2,2,1,0,0,2,1,1,1,2
I12,2,2,1,1,2,2,1,1,1,0
216_4,2,2,1,1,2,2,1,1,1,0
216_3,2,2,1,1,2,2,1,1,1,0
I13,1,2,1,0,0,2,1,1,1,0
216_7,1,2,1,2,1,2,1,1,1,0
I14,1,2,1,0,0,2,1,1,1,0
216_6,1,2,1,0,0,2,1,1,1,0
216_5,1,2,1,0,0,2,1,1,1,0
Evolve tree: [&R] (((((216_5:24,216_6:24)I14:40,216_7:64)I13:47,((216_3:10,216_4:10)I12:45,(216_1:8,216_2:8)I11:47)I10:56)I9:61,((216_13:3,216_14:3)I8:45,216_15:48)I7:124)I6:43,(((216_27:24,216_28:24)I5:37,(216_29:24,216_30:24)I4:37)I3:53,(216_23:32,216_24:32)I2:82)I1:101)I0;
