cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
216_4,1,1,1,1,2,0,2,1,2,2
216_3,1,1,0,1,2,0,2,1,2,2
216_17,1,0,1,1,0,0,0,1,2,2
216_11,1,0,1,1,1,0,0,1,0,0
216_10,1,0,1,1,1,0,0,1,0,0
216_13,1,0,1,1,1,0,0,1,0,0
216_12,1,0,1,1,1,0,0,1,0,0
216_23,1,2,1,2,2,0,1,0,1,1
216_22,1,2,1,2,2,0,1,2,1,1
216_21,1,2,1,2,2,0,1,0,1,1
216_20,1,2,1,2,2,0,1,0,1,1
216_25,0,2,1,2,1,1,1,0,0,1
216_24,0,2,1,2,1,1,1,0,0,1
216_27,0,2,1,2,1,0,1,1,1,1
216_26,0,2,1,2,1,0,1,1,1,1
216_39,2,0,2,0,2,1,1,2,1,2
216_38,2,0,2,0,2,1,1,2,1,2
216_37,0,0,2,0,0,1,1,2,1,2
216_36,0,0,2,0,0,1,1,2,1,2
216_35,0,0,2,2,0,2,1,2,1,2
216_34,0,0,2,2,0,2,1,2,1,2
216_33,0,0,2,2,2,2,1,2,1,2
216_32,0,0,2,2,2,2,1,2,1,2
216_47,0,0,2,2,1,2,1,2,2,2
216_46,0,0,2,2,1,2,1,2,2,2
216_45,0,0,2,2,1,2,1,2,0,2
216_44,0,0,2,2,1,2,1,2,0,2
216_41,2,2,2,2,1,2,1,2,0,2
216_40,2,2,2,2,1,2,1,2,0,2
216_43,2,0,2,2,1,2,1,2,0,2
216_42,2,0,2,2,1,2,1,2,1,2
