sigma: 13.318755685519038
216_1 280.0 493.0
216_6 349.0 447.0
216_5 325.0 449.0
216_4 315.0 481.0
216_3 292.0 488.0
216_10 275.0 422.0
216_9 272.0 461.0
216_8 309.0 448.0
216_7 286.0 468.0
192_2 292.814648221065 479.8803105859481
197_4 325.64810902731415 449.53785322751486
152_2 292.0087213071259 478.47561045348004
103_1 290.39338802544415 477.76719229710113
200_7 276.77164159950354 461.57455237197036
206_9 274.02741761611605 459.98850754205546
159_4 275.9913353757252 461.45202692761376
49_1 277.1752061698221 462.79294690145076
