sigma: 13.960027673077526
216_9 227.0 209.0
216_8 235.0 197.0
216_11 214.0 196.0
216_10 228.0 189.0
216_4 183.0 198.0
216_3 166.0 199.0
216_2 140.0 201.0
216_1 152.0 203.0
216_13 188.0 165.0
216_12 139.0 180.0
216_16 174.0 209.0
216_19 214.0 178.0
89_4 174.88011774944695 207.70860292568273
176_10 185.94891021752682 167.198265884904
46_2 181.3920158055541 193.37588830984274
157_6 214.75407927660018 195.5771546150797
166_5 232.68344467282168 197.82872248434632
104_3 213.5624377914345 195.98229344199103
201_1 152.46845851345907 202.31632441801798
210_3 180.98167258991077 197.9490409567595
156_1 179.67699754468998 195.613647751985
47_1 181.6568673240767 194.91486825502275
1_1 181.52455992296095 194.14545583926653
