sigma: 10.11199382220533
216_20 300.0 353.0
216_19 288.0 384.0
216_18 308.0 386.0
216_17 304.0 412.0
216_16 289.0 409.0
216_15 336.0 431.0
216_14 320.0 427.0
216_6 346.0 371.0
216_5 350.0 386.0
216_8 334.0 377.0
216_7 316.0 368.0
216_2 309.0 402.0
216_1 319.0 408.0
216_4 321.0 393.0
216_3 347.0 410.0
216_13 328.0 342.0
216_12 356.0 350.0
216_9 333.0 359.0
216_11 363.0 326.0
216_10 363.0 341.0
215_8 362.66677576612545 340.46041415210067
166_4 332.0305138620821 358.3700544891946
171_6 329.08666911747054 343.1252479242804
119_2 331.63421233739484 358.54522322078145
206_2 326.8640565068634 389.44884101221527
215_1 310.1076635099605 402.33771326611577
165_1 326.20258018596127 388.5414324602714
213_5 333.90064623025313 376.556050740523
215_4 345.1304185057885 372.6377534371096
171_3 334.76915608618253 376.5731497395372
120_1 325.7869291999487 387.4234009646958
65_1 324.95189604504094 386.81241095837527
208_10 320.8073063352585 426.6454215881779
208_11 303.54602581771354 410.9821709106917
167_7 304.41963713721276 410.14495112753696
212_14 298.10114862793876 387.74014958003545
167_8 299.14269732262505 388.21679790501344
117_3 304.96371746078614 395.08356297957744
14_1 306.0474271364371 394.6346708362631
