sigma: 9.631495554424111
216_12 261.0 367.0
216_11 266.0 385.0
216_9 274.0 399.0
216_4 248.0 337.0
216_2 268.0 342.0
216_1 273.0 359.0
216_5 246.0 349.0
216_8 220.0 310.0
216_7 224.0 343.0
203_4 224.81113504715563 342.36646467437686
164_2 246.3246913687193 347.8356040603
213_1 267.34340701238375 343.1182835717253
168_1 248.51043288978775 345.2795908190406
124_1 247.5903017805621 346.91035997238043
179_7 265.69868372193764 384.18506167400494
125_3 263.584913716629 379.57403216860513
75_1 263.2394870449727 378.8683013206389
